sample_index,id,sample_id,client_id,sentence_id,primary_accent,clip,audio_duration_sec,direct_runtime_sec,direct_generation_runtime_sec,direct_prepost_overhead_sec,direct_realtime_factor,generated_token_count,generation_limit_reached,runtime_scope,direct_status,direct_error
1687,,spk_1232,,54c8498938bbe354596f95de14fd9a94a8296ef64f5355f0d942f882c6ce951a,Hong Kong English,common_voice_en_17507680.mp3,8.592,0.9670953069999086,0.923928923000858,0.043166383999050595,0.11255764746274541,20,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1688,,spk_0968,,6e8327a3e2e07e912500f66e652f090dead99f99014e1f064be51d848676410b,Hong Kong English,common_voice_en_675140.mp3,7.416,0.8953860989986424,0.8429081030008092,0.052477995997833204,0.12073706836551272,18,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1689,,spk_1501,,c35e20c3a058a27a7981783b55e1756e32a542d31c77b31f6e4eb13b7b4239dc,Hong Kong English,common_voice_en_219306.mp3,2.304,0.5931111680001777,0.5783714239987603,0.01473974400141742,0.2574267222222994,7,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1690,,spk_1027,,dfa18535abde429ecb0218fa1542fbdf279b11a626ede55bd533a0075f5efe37,Hong Kong English,common_voice_en_31103.mp3,6.504,0.9651277270004357,0.9318105720012682,0.03331715499916754,0.14838987192503625,20,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1691,,spk_1501,,c655784f2fc18fcbc3166271368b7ad74c430f1efb7ad9366d920e4af51b64c3,Hong Kong English,common_voice_en_219308.mp3,4.008,0.7103049710003688,0.6870389140003681,0.02326605700000073,0.17722179915178862,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1692,,spk_1314,,091091225b0f556e3fafb1885682fd5f4329751d635cb62b3018276fad0973e1,Hong Kong English,common_voice_en_558045.mp3,6.048,0.9498093750007683,0.9187958670008811,0.031013507999887224,0.15704520089298418,20,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1693,,spk_1218,,f84603f9ab729a92c8647c2997c5c320cd1ff0c7231f2c9b746397ccd64f7825,Hong Kong English,common_voice_en_189581.mp3,2.184,0.6287677189993701,0.6138042649999988,0.014963453999371268,0.2878973072341438,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1694,,spk_1043,,3fdae2b779b9153ddf12cae2acc24c13296796503d9a0bc4002170582ac8de93,Hong Kong English,common_voice_en_17853201.mp3,2.376,0.6670821620009519,0.6503942769995774,0.016687885001374525,0.28075848569063633,10,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1695,,spk_0208,,15aa5db853745f3dbda9b0d0c9000a07917dbb89b1fe15821a2935d9393f8ac1,Hong Kong English,common_voice_en_161209.mp3,2.832,0.6833878329998697,0.6641576290003286,0.019230203999541118,0.24130926306492576,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1696,,spk_1043,,69b907129348ea84a9cba4e3d5a311904a8b1d90575ede9d3ec5a3e9dcf127b0,Hong Kong English,common_voice_en_17853219.mp3,3.576,1.2102196920004644,1.1773706240001047,0.032849068000359694,0.33842832550348556,17,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1697,,spk_1398,,7335597e4b9424bd35bfac7b9b131d66,Hong Kong English,common_voice_en_17264407.mp3,4.992,1.1227055429990287,1.077485916999649,0.04521962599937979,0.22490095011999772,13,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1698,,spk_1147,,5cb92ad0d62db64e9c7f2e4b837ef082d8463c6727a1573da08f07c966c75619,Hong Kong English,common_voice_en_18441987.mp3,6.84,1.4883738870012166,1.437692016001165,0.050681871000051615,0.21759852149140593,18,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1699,,spk_1310,,1e89dbe83c27bb77b4a7e69506380fc9e810a4d92cb9f7c5a332e37bc2e91a15,Hong Kong English,common_voice_en_17582.mp3,7.68,1.069832437000514,1.0161720750002132,0.053660362000300665,0.13930109856777526,22,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1700,,spk_1310,,19e2b0f8bfe6b9ffe13e34b163556690339c8da5d8195b39849230f0fb4a31ea,Hong Kong English,common_voice_en_17576.mp3,5.328,0.850725545999012,0.82428559499931,0.026439950999701978,0.15967071058540014,16,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1701,,spk_1310,,19f58d90bf98449acab4b22841dea2e2df36f12719106fa33c03afa1c396467a,Hong Kong English,common_voice_en_17577.mp3,5.856,0.9099484159996791,0.8775465329999861,0.032401882999693044,0.1553873661201638,18,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1702,,spk_0294,,910b85f9244815b85d6a81e7554123be038a9bc3a71193b775d01b200a22977c,Hong Kong English,common_voice_en_100328.mp3,3.024,0.7090521099999023,0.6892359360008413,0.019816173999060993,0.2344749041004968,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1703,,spk_0186,,13670f570ec0d90633b098be93f41a35fcd141598496f6af4de740c3c497ba2c,Hong Kong English,common_voice_en_19356197.mp3,8.304,0.9002340500010177,0.8577573530001246,0.04247669700089318,0.10840968810224202,18,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1704,,spk_1310,,eef83cf4c152e6a97361e0535f4153009960b3091fb336ea9ace4e1544683d81,Hong Kong English,common_voice_en_17758.mp3,3.264,0.705179931001112,0.666680225998789,0.038499705002323026,0.21604777297828187,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1705,,spk_1314,,39774528fa62cabcf233fe07e1fea583b811af0eac45ca7fef524edce3c36b16,Hong Kong English,common_voice_en_558072.mp3,4.032,0.9463960390003194,0.9236670039990713,0.02272903500124812,0.23472123983142842,21,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1706,,spk_0028,,0b22a1fa48730383e29bb7ca6a813d44715272a34f071dafb56c11d4a035b2fc,Hong Kong English,common_voice_en_18978476.mp3,3.096,0.6755747750012233,0.6561726039999485,0.019402171001274837,0.2182089066541419,10,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1707,,spk_1043,,f91067199af8fce4b09a02a98be0c11ed1e272ee1bd90bd879bbecba03219c8d,Hong Kong English,common_voice_en_17799160.mp3,3.384,0.7730600539998704,0.7520827709995501,0.020977283000320313,0.22844564243494989,14,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1708,,spk_0019,,ec704a7857664087aa8897e02d51a42a2b7eeeca90e156cb4a2d8f552b2a8fbd,Hong Kong English,common_voice_en_17388536.mp3,2.472,0.5730380639997747,0.5492346109986102,0.0238034530011646,0.23181151456301569,6,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1709,,spk_1310,,25105635e91d42a6f5ca9557355cbf0467e78cdfbeb997272e36802c076bccc6,Hong Kong English,common_voice_en_17586.mp3,8.448,1.2350688360002096,1.1928377879994514,0.042231048000758165,0.14619659517047934,30,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1710,,spk_1501,,36894e5ff17e39b9aa0c879b4b68332fd65346033a55658676ed92364fac53bf,Hong Kong English,common_voice_en_219254.mp3,2.592,0.6978879440011951,0.6816647369996645,0.016223207001530682,0.26924689197576973,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1711,,spk_1314,,78762cee32931cc702f8592766a39e3e28a8227006704c82d4d37dc60f809712,Hong Kong English,common_voice_en_558102.mp3,2.88,1.176228574999186,1.141194785001062,0.03503378999812412,0.40841269965249516,16,False,audio_load_to_text_decode_end_to_end_pipeline,success,
