sample_index,id,sample_id,client_id,sentence_id,primary_accent,clip,audio_duration_sec,whisper_runtime_sec,whisper_generation_runtime_sec,whisper_prepost_overhead_sec,whisper_generated_token_count,whisper_generation_limit_reached,asr_status,asr_error,nllb_runtime_sec,nllb_generation_runtime_sec,nllb_prepost_overhead_sec,nllb_generated_token_count,nllb_generation_limit_reached,mt_status,mt_error,cascade_stage_sum_runtime_sec,cascade_generation_sum_runtime_sec,cascade_realtime_factor,runtime_scope,cascade_status,cascade_error
1644,sample_1645,spk_0294,,5f686c95176b57b963368742cfaf909008d082108c5e87fd81be0d9a7e57bb14,Hong Kong English,common_voice_en_100316.mp3,3.672,0.5202984079996895,0.49836469599995326,0.02193371199973626,6.0,False,success,,0.20147234999967623,0.20060153600024933,0.0008708139994269004,9.0,False,success,,0.7217707579993657,0.6989662320002026,0.1965606639431824,staged_whisper_pipeline_plus_nllb_pipeline,success,
1645,sample_1646,spk_1310,,873465be2e459c32b434cbe21cebd79c5bc09cecc9038c8d6932615f5377b23e,Hong Kong English,common_voice_en_17685.mp3,5.976,0.830863765999311,0.8050025170005028,0.02586124899880815,16.0,False,success,,0.3434337750004488,0.34153259199956665,0.0019011830008821562,15.0,False,success,,1.1742975409997598,1.1465351090000695,0.19650226589688083,staged_whisper_pipeline_plus_nllb_pipeline,success,
1646,sample_1647,spk_1218,,c943596fe5a8ca458fa6044f53c28172be1da6b27fde54934f501aafa0e170bd,Hong Kong English,common_voice_en_189576.mp3,4.584,0.6479702790002193,0.6190415849996498,0.02892869400056952,10.0,False,success,,0.35620931500034203,0.35503613600030803,0.001173179000033997,16.0,False,success,,1.0041795940005613,0.9740777209999578,0.2190618660559689,staged_whisper_pipeline_plus_nllb_pipeline,success,
1647,sample_1648,spk_0028,,0b509100bcfde5481e1b586656d94ecb12ff9ec401e621e442c7411bcc6d0a0a,Hong Kong English,common_voice_en_18978471.mp3,5.76,0.8122639560006064,0.7871698760000072,0.025094080000599206,15.0,False,success,,0.6486063840002316,0.647387856000023,0.0012185280002086074,27.0,False,success,,1.460870340000838,1.4345577320000302,0.25362332291681217,staged_whisper_pipeline_plus_nllb_pipeline,success,
1648,sample_1649,spk_0167,,06dba1ed98281a287d277c3009dc295b1271ab76d1ae2c9368c64548fddb2bd3,Hong Kong English,common_voice_en_18840633.mp3,9.048,1.0247732139996515,0.982161613000244,0.04261160099940753,16.0,False,success,,0.37929236499985564,0.37624563400004263,0.0030467309998130077,17.0,False,success,,1.4040655789995071,1.3584072470002866,0.1551796616931374,staged_whisper_pipeline_plus_nllb_pipeline,success,
1649,sample_1650,spk_1043,,9da347540883e7726fdcb34f2c4e1ad49285a2f52e420bb8e0e027b2c0fa4ff5,Hong Kong English,common_voice_en_17808819.mp3,4.536,0.906831307000175,0.8753043079996132,0.03152699900056177,13.0,False,success,,0.3292287260001103,0.32832247100031964,0.0009062549997906899,14.0,False,success,,1.2360600330002853,1.2036267789999329,0.2725000072751952,staged_whisper_pipeline_plus_nllb_pipeline,success,
1650,sample_1651,spk_1314,,a239a5f87f0536333cf4fc16a6c087c204d1449ab7f071885cf484ac5d142ad4,Hong Kong English,common_voice_en_558120.mp3,3.408,0.789548377999381,0.7633388129997911,0.02620956499958993,10.0,False,success,,0.2933151490005912,0.29048748500008514,0.002827664000506047,13.0,False,success,,1.0828635269999722,1.0538262979998763,0.31774164524647075,staged_whisper_pipeline_plus_nllb_pipeline,success,
1651,sample_1652,spk_1043,,bcd72c22f09f3820e22abd66fb3031c2151e8af6a75f59fb6dcfba5a409e5e6b,Hong Kong English,common_voice_en_17808854.mp3,4.776,1.0238593559997753,0.9922555420007484,0.0316038139990269,18.0,False,success,,0.39328674799980945,0.39204267999957665,0.0012440680002328008,17.0,False,success,,1.4171461039995847,1.384298222000325,0.2967223835845027,staged_whisper_pipeline_plus_nllb_pipeline,success,
1652,sample_1653,spk_1314,,ce4eec7272c8423e8c78e75cd65ee79a65bdbba7c2ddcab0656548ea2486ad95,Hong Kong English,common_voice_en_558139.mp3,2.496,0.5367226289999962,0.514609267999731,0.022113361000265286,7.0,False,success,,0.178574669000227,0.17754410399993503,0.001030565000291972,8.0,False,success,,0.7152972980002232,0.692153371999666,0.2865774431090638,staged_whisper_pipeline_plus_nllb_pipeline,success,
1653,sample_1654,spk_1027,,4da5d6f3540bebb0662db2439ca2d338931746d1c82027a461ac55cbcf888309,Hong Kong English,common_voice_en_31097.mp3,8.256,0.808405533000041,0.7776918219997242,0.030713711000316835,15.0,False,success,,0.49637199500011775,0.49320438299946545,0.003167612000652298,22.0,False,success,,1.3047775280001588,1.2708962049991896,0.15803991375970916,staged_whisper_pipeline_plus_nllb_pipeline,success,
1654,sample_1655,spk_1218,,9e2107ddbb3dc0983c06427c47e13c20e1b3b62aa1232e9a98b50e4380c1dd0b,Hong Kong English,common_voice_en_189570.mp3,2.784,0.5806867389992476,0.5560137770007714,0.02467296199847624,7.0,False,success,,0.24798442399969645,0.24691667000024609,0.0010677539994503604,10.0,False,success,,0.828671162998944,0.8029304470010175,0.2976548717668621,staged_whisper_pipeline_plus_nllb_pipeline,success,
1655,sample_1656,spk_1109,,a06f50dc158d5156a2a4d74de2978832ac89022798294131d4f80f4d3018a79d,Hong Kong English,common_voice_en_17737893.mp3,3.744,0.5165135410006769,0.49137545699977636,0.025138084000900562,6.0,False,success,,0.24863642700074706,0.2454973779995271,0.0031390490012199734,11.0,False,success,,0.765149968001424,0.7368728349993034,0.20436697863285896,staged_whisper_pipeline_plus_nllb_pipeline,success,
1656,sample_1657,spk_1314,,b6954bd61018106b6b29086d882770fbe5259612a9a6f2eda4df9da16ddc471d,Hong Kong English,common_voice_en_558133.mp3,3.648,0.5946958389995416,0.5717454989999169,0.022950339999624703,8.0,False,success,,0.3579328790001455,0.3562601209996501,0.001672758000495378,16.0,False,success,,0.9526287179996871,0.928005619999567,0.2611372582235984,staged_whisper_pipeline_plus_nllb_pipeline,success,
1657,sample_1658,spk_0143,,e05eb2b6637307570fc5c0c0ef82e8f2109c54cb4df6d8e75d3e023a933902e8,Hong Kong English,common_voice_en_17249078.mp3,5.4,0.8491304919998584,0.8223479910002425,0.026782500999615877,16.0,False,success,,0.40040654400036146,0.39924012899973604,0.0011664150006254204,17.0,False,success,,1.2495370360002198,1.2215881199999785,0.2313957474074481,staged_whisper_pipeline_plus_nllb_pipeline,success,
1658,sample_1659,spk_1043,,c284064bdcd4b75f30bebf1687863c97a95938ac804f90b1df589f22dbf27c75,Hong Kong English,common_voice_en_17808853.mp3,2.064,0.5740416579992598,0.5526492669996514,0.021392390999608324,8.0,False,success,,0.2244006780001655,0.22342908500013436,0.0009715930000311346,10.0,False,success,,0.7984423359994253,0.7760783519997858,0.3868422170539851,staged_whisper_pipeline_plus_nllb_pipeline,success,
1659,sample_1660,spk_1310,,341872470dae2316d56b1a70075069cfd7952aed4600263854a2fc240b0ff353,Hong Kong English,common_voice_en_17605.mp3,6.144,0.8484553489997779,0.8225386280000748,0.025916720999703102,16.0,False,success,,0.42764304599950265,0.42669355799989717,0.0009494879996054806,19.0,False,success,,1.2760983949992806,1.249232185999972,0.20769830647774748,staged_whisper_pipeline_plus_nllb_pipeline,success,
1660,sample_1661,spk_1501,,f46170318e88784760b7880585cd45a8aa96f2b72ed838b1229b540596ec5f7a,Hong Kong English,common_voice_en_219319.mp3,7.2,0.7141082319994894,0.6864073670003563,0.027700864999133046,12.0,False,success,,0.3954367220003405,0.393794818999595,0.0016419030007455149,17.0,False,success,,1.1095449539998299,1.0802021859999513,0.1541034658333097,staged_whisper_pipeline_plus_nllb_pipeline,success,
1661,sample_1662,spk_0028,,0b47b4dfc2681853e7e363ccf9c5fe370c883eff0dfa1cb6aeed66cb74a1fb76,Hong Kong English,common_voice_en_18978472.mp3,6.168,0.7161989139995057,0.6901231870006086,0.026075726998897153,12.0,False,success,,0.3742528229995514,0.3707033480004611,0.0035494749990903074,16.0,False,success,,1.0904517369990572,1.0608265350010697,0.17679178615419214,staged_whisper_pipeline_plus_nllb_pipeline,success,
1662,sample_1663,spk_1310,,b9dabb8991baba40743bedaab3e14e342f0d489f3203ce709ce456b112999bf5,Hong Kong English,common_voice_en_17726.mp3,8.208,1.0337570440005948,1.0059198879998803,0.027837156000714458,22.0,False,success,,0.5045824740000171,0.5032287489993905,0.0013537250006265822,20.0,False,success,,1.5383395180006119,1.5091486369992708,0.1874195319201525,staged_whisper_pipeline_plus_nllb_pipeline,success,
1663,sample_1664,spk_1218,,60e567155988b6c443bc8eaa7a7b2c2ad99bfbb6b099b2328ea2dac1a17f3e12,Hong Kong English,common_voice_en_189561.mp3,5.016,0.5813353359999383,0.556510354999773,0.02482498100016528,8.0,False,success,,0.3877960919999168,0.38583839500006434,0.0019576969998524874,13.0,False,success,,0.9691314279998551,0.9423487499998373,0.19320801993617526,staged_whisper_pipeline_plus_nllb_pipeline,success,
